"season_year","total_goals","avg_attendance"
"2012","16188","18260.63076362311"
"2013","16276","18080.959760739534"
"2014","16224","17250.139526542323"
"2015","16024","17894.556755767117"
"2016","16191","18025.335055350555"
"2017","15921","19763.720984305368"
"2018","16017","19535.11390446722"
"2019","16182","17988.405221588415"
"2020","16453","4291.923167848699"
"2021","16838","15894.262137945405"
"2022","15781","19511.105390539054"
