"position","avg_goals_per_player","avg_assists_per_player"
"Attack","0.2043231910810117","0.10693067491412295"
"Missing","0.16163793103448276","0.08081896551724138"
"Midfield","0.08330407180077812","0.08440243268677051"
"Defender","0.037856257744733585","0.050020652622883105"
"Goalkeeper","1.45510986079449E-4","0.0024979385943638744"
